"submission_date","reviewer_id","product_id","product_name","product_brand","site_category_lv1","site_category_lv2","review_title","overall_rating","recommend_to_a_friend","review_text","reviewer_birth_year","reviewer_gender","reviewer_state",,,,,
"2018-01-01 02:54:14","3faead0bd5bb48ea5c7f82d5f3467a7a7cdcd55391e4981a6007b65cd20ceff3",22562178,"Copo Acrílico Com Canudo 500ml Rocie","null","Utilidades Domésticas","Copos, Taças e Canecas","Fantástico",5,"Yes","Comprei um pra cara membro da família nesse natal@!!!!","null","null","null",,,,,
"2018-01-01 03:06:04","74cfe73e7489f0ed1f4d1f012efbc5a8e0958c3559b65d4630f59ab9fce9a17e",126474851,"Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W","philco","Eletroportáteis","Aspirador e Vassoura Elétrica","Maravilhoso!!!",5,"Yes","Produto maravilhoso! Não é barulhento, fácil manuseio, tranquilo de montar e desmontar, entrega antes do prazo mesmo se tratando de época do Natal. Americanas de parabéns e o produto muito bom. Recomendo com força.",1967,"F","RJ",,,,,
"2018-01-01 03:32:47","0caab33faedce9bfcb6fb0bd68b0ee8ce48860fa295d3f6f5699163e310fa3df",29302228,"Conjunto de Panelas Antiaderente Turim 10 Peças Vermelha Tramontina","null","Utilidades Domésticas","Panelas","Amei o produto",5,"No","Jogo de panelas excelente material, entrega a tempo, design muito bom.","null","null","null",,,,,
"2018-01-01 03:35:48","1c1d746a5a1b9d0780d0dc0038d827f11658baf703e3fd1218db0edec3b04134",132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado","null","Celulares e Smartphones","Smartphone","Revoltado",1,"No","Esse celular não vale nada a bateria não vale nada descarrega sozinha quando estar usando esquenta tanto que faz medo espludi foi a pior compra da minha vida se eu tivesse condições quebrava ele em mil pedaços e comprava outro de qualquer marca menos Motorola",1970,"M","BA",,,,,
"2018-01-01 03:59:57","b47d9ca2cafe181ebcdd6f7e085e4354e566bd0115fa21101037a120c205aad0",24717741,"Tênis Casual Conforto Beira Rio","null","Moda","Feminino","satisfeito",5,"Yes","produto de acordo com o que eu esperava. Somente o prazo de entrega que ficou um pouco a desejar, um pouco longo",1961,"M","SP",,,,,
"2018-01-01 04:03:27","7c057e5502616bfedf0253c9a1df3945e4779ec836ea6b8b6fbddae82b5b93e9",16804573,"Mochila Sport Escolar Camping Trilha Viagem Passeio","null","Malas e Acessórios","Mochilas","o zipe",2,"No","a mochila nao esta fechando direito por isso nao recomendo se meu filho nao tivesse deixado suja ia devolver",1976,"M","RJ",,,,,
"2018-01-01 04:09:40","c594d4f3ee6220b9a522a985a52ac990c2123287877205f9e17f294f19738e09",11491071,"Toldo Versátil Artplas 120x60cm Branco E Cristal","null","Móveis","Puff e Tamborete","Condizente com o anúncio",4,"Yes","Produto condizente com o anúncio, com material de boa qualidade, fácil instalação, montagem e preço de acordo com a necessidade de cada um...",1973,"M","SP",,,,,
"2018-01-01 04:11:35","bcbf1fc81b0cbc699349864ddf265e7433cea4d4851d2626d3c21f36417ec878",132381802,"Smart TV LED 65"" Samsung 65MU6100 UHD 4K HDR Premium com Conversor Digital 3 HDMI 2 USB 120Hz","null","TV e Home Theater","TV","muito bom",4,"Yes","nao tenho nada a reclamar, bom atendimento e entrega dentro do combinado.",1950,"M","SP",,,,,
"2018-01-01 04:12:32","6fb7f311f44940ce39ffd38e6f377818920643950d100194ee097cead11f8141",16161591,"Barra De Cereal Nestlé Banana, Aveia E Mel 60g 3 Unidades","null","Alimentos e Bebidas","Barra de Cereais","muito bom",4,"Yes","Até agora os produtos que eu comprei foram entregue certo. Obrigado que continua assim.",1980,"M","SP",,,,,
"2018-01-01 04:24:12","5366bb0e7ee5808a78dce8602122c5a01bbee5b66c9af91a145b96d5bc0d6e9e",26936514,"Capa Protetora Toyota Corola Com Cadeado","null","Automotivo","Capas para Carro","Vou usa-la",3,"Yes","A capa não decepcionou por enquanto, mas a bolsa para guarda ou transporte é extremamente frágil, na abertura para conferência já rasgou toda a volta junto ao fecho. Péssima impressão, terei que guarda-la noutra embalagem. Uma pena!!!!!",1953,"M","RS",,,,,
"2018-01-01 04:27:44","b6a96310f5f1273a16b798b0d514c740bb96dc85ad93da237f0a11b7d6361250",125768030,"Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3"" 16GB 4G Câmera 13MP TV Digital - Dourado","lg","Celulares e Smartphones","Smartphone","Gostei do produto",3,"Yes","Produto ofereçe o que prometeu no anúncio, entrega muito rapida bem antes do prazo",1986,"M","PE",,,,,
"2018-01-01 04:42:04","2528fa39609ec18711f66173493f9234f9170851aa4b9fdb47a0574c1607dbcf",132739181,"Smart TV Android LED 49"" TCL C2 49C2US Ultra HD 4K com Conversor Digital Soundbar Integrado 3 HDMI e 2 USB 120Hz - Preta","null","TV e Home Theater","TV","TV Espetacular",5,"Yes","Pontos Positivos Painel de 10bits (isso faz toda diferença da mais de 1 bilhão de cores) Bluetooth Wi-Fi AC USB 3.0 Input Lag Baixo Painel VA, que proporciona um alto contraste. Android TV 6.0 Som da TV realmente é excepcional! (saída do auto falantes são voltados para frente) Vem 2 controles remotos  A tv realmente é formidável, valeu muito a pena ter comprado TCL.",1993,"M","MG",,,,,
"2018-01-01 04:44:27","c6bff459531c9c383e472464f4aee69c2f59a90e62b43e5ff4c2029bdb64477d",113048617,"Cafeteira Elétrica Cadence Single CAF111 com 2 Xícaras - Vermelho","cadence","Eletroportáteis","Cafeteira","Perfeito",5,"Yes","Melhor do que imaginava. Superou minhas expectativas.",1985,"F","RJ",,,,,
"2018-01-01 04:46:19","c6bff459531c9c383e472464f4aee69c2f59a90e62b43e5ff4c2029bdb64477d",132631701,"Mop Giratório Fit + Refil Extra - At Home","null","Utilidades Domésticas","Material de Limpeza","Perfeito",5,"Yes","Super leve, prático, fácil manuseio, perfeito p mim.",1985,"F","RJ",,,,,
"2018-01-01 04:57:35","afe3d76828f119c12024abbab6c897418d4e587fe6a8bc423129e84c6c9263e4",19865866,"Câmera Estilo Go-Pro Sports Hd 1080p Esportes Radicais","null","Câmeras e Filmadoras","Câmera Digital","Muito bom estão de parabéns",5,"Yes","Só tenho que agradecer por vocês estão de parabéns",1975,"M","PR",,,,,
"2018-01-01 04:59:09","a687ca330b372a7ab49d2875f2957e8281b4ec6ad8f1885452b9ff34c526645d",125061667,"Chaleira Elétrica Cadence CEL800 1,7 Litros Inox Prime","cadence","Eletroportáteis","Chaleira Elétrica","Eu não recebi o produto????!!!!!!!",1,"No","Eu não recebi o produto e a americanas sabe disso pois já relatei a reclamação diversas vezes!!! Só vão devolver o dinheiro no procon e isso mesmo?????",1971,"F","SP",,,,,
"2018-01-01 05:00:10","fc68d68b0a1aafe63d7607f5f26e06a0254587daf36b7b91ad9c00dd4e3301ff",126030651,"Camiseta Speedo Basic Blend UV 50+","speedo","Vestuário Esportivo","Masculino","Ótimo produto",4,"Yes","Ótimo produto, comprei para uma pessoa albina, ele adorou super leve o tecido.",1973,"F","RS",,,,,
"2018-01-01 05:09:43","00ea6830e894ca1c7b6e65b51f2952f9e7f328c6968c4a3f1ed2be268e446387",22562178,"Copo Acrílico Com Canudo 500ml Rocie","null","Utilidades Domésticas","Copos, Taças e Canecas","O melhor",5,"Yes","Pra quem gosta de qualidade com um preço acessível a todos, eis a melhor opção.",1993,"M","ES",,,,,
"2018-01-01 05:12:05","71defa3d249016b7e9bdce259d11d779d26cbab29fb32b9adf4e30eae4e6063a",23167779,"Penteadeira Jb 7200 Com Banqueta Amarelo - Jb Bechara","null","Móveis","Penteadeira","O produto foi devolvido,  devido estar avariado.",2,"No","Gostaria de cancelar esta compra, peço sua gentileza me informar como devo proceder.",1980,"M","ES",,,,,
"2018-01-01 05:12:13","41d392f391118e768644700aec831e999705dece8183264f66456a78f74d080b",125397208,"Smartphone Samsung Galaxy A5 2016 Dual Chip Android 5.1 Tela 5.2"" 16GB 4G Câmera 13MP - Dourado","samsung","Celulares e Smartphones","Smartphone","Mediano com recursos de um top",4,"Yes","Uma tela impecável. Se sua prioridade é tela e câmera, esse é o cara. O ponto fraco fica por conta do armazenamento, apenas 16GB, e pela câmera frontal, de apenas 5Mpixels sem flash. No entanto, a câmera principal de 13Mpixels é perfeita.",1990,"M","PI",,,,,
"2018-01-01 05:17:39","10ddeaa5266cc7558a3cc66d499306bb73379828d2b36b57676292a044bde606",132581775,"Smartphone Asus Zenfone 4 Selfie Dual Chip Android 7 Tela 5.5"" Snapdragon 64GB 4G Câmera Traseira 16MP Dual Frontal 20MP + 8MP - Preto","null","Celulares e Smartphones","Smartphone","Produto ótimo e entrega rápida",5,"Yes","Aparelho condiz com a sua descrição, super top, tenho o zen fone 3 é comprei este para minha esposa, ela está amando, super recomendo.",1989,"M","SP",,,,,
"2018-01-01 05:20:38","ddfe30dd8d67394d00897611dd1c69fa8bb44d2cc517eb9aee25b892c2f23a23",13076327,"Refil Esfregão Mop Limpeza Prática","null","Utilidades Domésticas","Material de Limpeza","Não  recebi ainda foi devolvido!",1,"No","Não recebi segundo o correio o endereço  estava errado! Porém o outro pedido recebi!",1984,"F","BA",,,,,
"2018-01-01 05:25:09","756db32aadfc35920a2da68a64fcb35bf19718d6632ca7b7f7b489879421be92",30092551,"Kit Câmera instantânea Fujifilm Instax Mini 9 c/ Bolsa e Filme 10 poses - Azul Aqua","null","Câmeras e Filmadoras","Câmera Instantânea","Gostei muito.",4,"Yes","Muito bonita e prática. Chegou antes do prazo. Americanas de parabéns.",1973,"F","BA",,,,,
"2018-01-01 05:27:25","0151593d73de9061b1b888d081ec4ed63f68ecae5853e5d0b73450c8be39fc1a",7502295,"Moto Elétrica Infantil 6V Motocross Vermelha Homeplay","null","Brinquedos","Mini Veículos","Péssimo produto e atendimento da lojas Americanas",1,"No","Comprei o produto que veio com defeito. Montamos o produto, conforme manual, mas a moto não consegue receber a energia que a bateria produz.  Antes de 7 dias de compra solicitei a troca do produto, e tanto a lojas Americanas como a Loja Cuba não me retornam, único retorno que tive foi para verificar os fios, que já foram verificados várias vezes. Já retornei com e-mail, mas não me retornam. Um descaso total!! Não consigo solicitar a troca do produto por mais nenhum meio de comunicação. Quando ligo nas lojas Americanas pedem para digitar o CPF. Se eu digito o meu CPF, ele derrubam a ligação. Não sei mais o que fazer.",1986,"F","SP",,,,,
"2018-01-01 05:30:00","71406dfab05583f2a84cec7e560af7d85a994443247ddb6548158417b25d217e",132569282,"Smartphone Motorola Moto X4 Dual Cam Android 7.0 Tela 5.2"" Octa-Core 32GB Wi-Fi 4G Câmera 12MP - Azul Topázio","null","Celulares e Smartphones","Smartphone","Produto muito bom",5,"Yes","Top de linha, vale a pena comprar, gostei e não me arrependo de ter comprado",1977,"M","PI",,,,,
"2018-01-01 05:33:50","396f654e581e1f61eda1a39c98b77d0019517e24d6bc14bded2fef5820346d47",117744100,"Repetidor de Sinal 300Mbps 2.4Ghz TL-WA850RE - TP-Link","tp-link","Informática e Acessórios","Equipamento de Rede / Wireless","Produto Legal",5,"Yes","Excelente produto...gostei mesmo... Excelente produto...gostei mesmo...",1975,"M","SE",,,,,
"2018-01-01 05:35:28","396f654e581e1f61eda1a39c98b77d0019517e24d6bc14bded2fef5820346d47",132399201,"Game Pro Evolution Soccer 2018 - Xbox360","null","Games","Xbox 360","Gostei do msmo...",4,"Yes","Excelente produto...gostei mesmo... Excelente produto...gostei mesmo...",1975,"M","SE",,,,,
"2018-01-01 05:37:22","9806ebe43af35a917b9a42f626ebb7556b97ab27159490d33b30a5e8a3ce2c6a",130945441,"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5"" 128GB 4G Câmera 12MP - Black Piano","samsung","Celulares e Smartphones","Smartphone","Excelente",5,"Yes","Melhor custo benefício. Exatamente  como anunciado. Recomendo .",1980,"M","SP",,,,,
"2018-01-01 05:47:53","e2f7efa0036c962a5b529630eedac5a1ce3f8e648b49bb4860e0c2ea71674df8",132127601,"Smart TV LED Philips 43"" 43pfg5102/78 com Conversor Digital Wi-Fi integrado 2 USB 3 HDMI","philips","TV e Home Theater","TV","Gostei muito do produto!",4,"Yes","sim e um bom produto pode comprar sem poblema Gostei muito do produto!",1960,"M","SP",,,,,
"2018-01-01 05:48:03","cf2efa56e76850e9094e906467b203aa0bb3ff539dfaac1610372a3f02aacef9",26673481,"Smartphone Motorola Moto C Xt1750 Dual Sim Tela 5.0 8gb 5mp/2mp - Preto","null","Celulares e Smartphones","Celular Básico","Bom produto",3,"Yes","Gostaria de saber se esse celular tem câmera frontal",1988,"F","MG",,,,,
"2018-01-01 05:52:43","9b884303b5ad24c683645def8bedcecc991b18ceb1a1267358d2524d03da4d79",18813436,"Câmera Ip Jl Protec Pantilt 1.0mp Ir-Cut Onvif - Hd - Wifi Com Áudio","null","Casa e Construção","Segurança","Dentro da expectativa.",4,"Yes","Com exceção que veio a marca Verde ao invés de Jl  Protect,  funciona super bem.  Essas coisas chinesas são bem parecidas mesmo.",1975,"M","SP",,,,,
"2018-01-01 05:53:04","b4de8db318b92631f446ada4babaa9e8e2951c33e73f6c84145a40349b9ca4ad",26992048,"Lençol Avulso Com Elástico Solteiro 170 Fios Preto","null","Cama, Mesa e Banho","Lençol Avulso","Ótimo",4,"Yes","Ótimo, elástico Mel e todo, ao contrário de uns que vem elástico so nas pontas",1982,"F","SP",,,,,
"2018-01-01 05:53:54","675ddf4990525c2b1d0ccf0e0a2fef84acbecafee269134826a3d5b9bbfcc875",132222369,"Smartphone Motorola Moto G5 Plus Dual Chip Android Nougat 7.0 Tela 5,2"" Octa-Core 2GHz 2GB 4G Câmera 12MP - Azul Safira","motorola","Celulares e Smartphones","Smartphone","Maravilha",4,"Yes","Achei lindo, too de linha,, design lindo, câmera, resposta boa, rápida, preço e prazo ,tudo certinho,,adorei o celular,,parabéns americanas,,,,nota dez,,,,",1959,"M","SP",,,,,
"2018-01-01 05:56:40","f6e54f02b2189cbbc0e4f32553a472fb7654921501fccbf22d1fd6702583ba5c",9768970,"Piscina Retangular Mor Premium 5.000 Litros, Lona De Pvc","null","Esporte e Lazer","Praia e Piscina","Gostei muito do produto e da rapidez com que foi entregue.",4,"Yes","Fiquei satisfeito com a segurança e garantia de toda transação, entretanto fiz outra compra no dia 29/11 e até hoje não foi entregue. O que diferencia uma compra da outra com relação a entrega?",1940,"M","RJ",,,,,
"2018-01-01 06:01:22","faeebb5c84fde40dbe91285440668a468140ecf66da0139ea6b7c4ebae32ff11",128906477,"Conjunto  Potes de Vidro Multiuso 3 Peças Vermelho - Euro Home","euro home","Utilidades Domésticas","Utensílios e Acessórios Domésticos","Excelente",5,"Yes","Adorei o produto. É bonito e prático. Recomendo. A entrega foi feita antes do prazo.",1982,"F","MG",,,,,
"2018-01-01 06:04:46","3e8a71fb5dd1b1ccea3cd139908d759d83124a7757d69f8392f28b404c8a480f",118212404,"Livro - Primeiro Amor","null","Livros","Literatura Estrangeira","Nao chegou",2,"No","Nao veio esse produto nao chegou entao não tem como eu avalia",1992,"F","SP",,,,,
"2018-01-01 06:05:50","33bba21e9131130728f945c135f08f0aafcb5abb422ee53855c58afe495baaa6",11466760,"Grandiôse Lancôme - Máscara Para Os Cílios 01","null","Beleza e Perfumaria","Maquiagem","incrível!",5,"Yes","Máscara de cílios incrível, tenho pouquíssimo cílios e ela deu um super efeito! Amei!",1989,"F","RJ",,,,,
"2018-01-01 06:06:44","6b9dacf3309fe5a40a56fcc5c4659026763e4462a3714fbea97278232e649add",132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado","null","Celulares e Smartphones","Smartphone","Excelente produto",5,"Yes","Aparelho de ótima qualidade e sem defeitos, entrega com pontualidade e qualidade !",1998,"F","SP",,,,,
"2018-01-01 06:07:02","2bd5d5aca0691c9dd0c12cc66260d2ddeb7151262e99f3da647972f004c5fb20",124499501,"Livro - Física Conceitual","null","Livros","Ciências Exatas","o produto foi entregue dentro do prazo",5,"Yes","O produto chegou no prazo e em ótimo estado, tenho sido muito bem atendida quando solicito algo no site.",1957,"F","MG",,,,,
"2018-01-01 06:07:25","94ded6674b1e525deb25a33a2372b7fd6e4e115109c2f2ae6bc769af8409da7b",26941862,"Lona Azul Polietileno 100mc 4x4","null","Esporte e Lazer","Camping","Muito boa o produto",3,"Yes","Tem bom acabamento e é pratico. Serviu para o que eu precisava!",1978,"F","RS",,,,,
"2018-01-01 06:08:02","0a2f4d6d492cd5ddb86cfb808ec5688188c0622b469350f7a0b2fdcf60159754",23118870,"Caixa De Som Sem Fio Home Theater 4x1 Fm P2 Bluetooth Usb Wm 1300 Celular Computador","null","Áudio","Micro System","Muito útil",4,"Yes","Ótimo equipamento. Som forte, portátil, prático. Uso muito.",1945,"M","RJ",,,,,
"2018-01-01 06:08:46","aa8aed3cb5103015591910285745921d3b4fec659f73bd152462b6fd3b268652",25668212,"Oculos Lupa Cabeça 8 Lentes 2 Leds Alto Brilho para Ourives","null","Papelaria","Luminárias e Acessórios para Leitura","Top",5,"Yes","Perfeito, funciona muito bem. Ótimo acabamento. Recomendo",1983,"M","PR",,,,,
"2018-01-01 06:09:10","106a5f0ebe671c59ffdf99e0b56ec9ad5dd4888ac8fb8604919a06080288b810",25651210,"Varal Recolhível Retrátil De Parede 30 Metros Branco Seca Fácil","null","Utilidades Domésticas","Cabide, Cestos e Varal de Roupas","Nota dez",5,"Yes","O produto é  excelência para doméstico quando quer usar você monta e quando não usa você desmonta",1975,"M","SP",,,,,
"2018-01-01 06:09:58","c64fba6b296db674d690787594b8c50dfb46d5a30e7159b86e9f53ce3c9016a8",130788449,"Escova Soft Brush 1000W - Philco","philco","Beleza e Perfumaria","Aparelhos elétricos para cabelo","Eficiente",4,"Yes","Cabelos alinhados, sem frizz e muito mais rápido do que com escova convencional. Aprovadíssimo.",1976,"F","SP",,,,,
"2018-01-01 06:10:20","518f0b404b615224851c93008b13f5cdf23231a08202003fc284e037d75590fa",132444771,"Smartphone Motorola Moto G 5s Plus Dual Chip Android 7.1.1 Nougat Tela 5.5"" Snapdragon 625 32GB 4G 13MP Câmera Dual Cam - Ouro rosa","null","Celulares e Smartphones","Smartphone","Não gostei do produto!",1,"No","A câmera frontal do meu é terrível, tanto faz tá claro ou escuro, a foto fica ruim de qualquer jeito. Muito arrependida!",1992,"F","RN",,,,,
"2018-01-01 06:10:44","9b1c5cf26e1fb5edd76e56a9f33ac2e5e715ba0884993865602d0d1f7587a48d",124488474,"HD Externo Portátil Seagate Expansion 1TB USB 3.0","seagate","Informática e Acessórios","HD Externo","Hd muito bom",5,"Yes","Gostei do produto! Valeu a pena a compra. Atendeu ao objetivo para o qual foi adquirido!",1969,"F","ES",,,,,
"2018-01-01 06:11:35","22c26a494ed9ebaf7f857d4342fb4cff278ac6e171016ea8e50e0e63a1f53389",122772412,"Tablet Samsung Galaxy Tab A com S Pen P355M 16GB Wi-Fi 4G Tela 8"" Android 5.0 Quad-Core - Branco","samsung","Informática","Tablet e iPad","Valeu cada centavo!",5,"Yes","Muito útil, para pesquisas e baixar publicações e vídeos, usando o app jw library.  Parabéns!",1979,"M","SP",,,,,
"2018-01-01 06:12:48","de9a43c59f3f95d335a0650df3c084728bbd3852842a85d0fbaceb0757674c67",19563959,"Extensor 10cm De Grade Porta Do Portão Utilar","null","Casa e Construção","Portas, Janelas e Portões","Não recebi o produto",1,"No","Não recebi o produto e a transportadora colocou que recebi. Preciso receber esse produto.",1978,"F","RJ",,,,,
"2018-01-01 06:13:09","1bc3c17cdc8e8129a53892943f59e9b9ca240a6592c1fcbbb8a049e6c934f3a8",11023019,"Secador Taiff Fox Ion 2000w - Preto -127v","null","Relógios","Relógios","Bom, mas nada especial.",3,"No","Secador bom, mas cumpre o papel de um secador mediano, não tem nada de especial. Não acho que vale o que custa, se eu soubesse teria investido mais em outro melhor ou menos em outro que provavelmente faria a mesma coisa.",1982,"F","RJ",,,,,
"2018-01-01 06:15:02","873501f77b79565a31fd28e4f2189dc3ae3486ada36ff20c398f37acec560365",19371961,"Capa Protetora Chevrolet  S10 Forro Parcial","null","Automotivo","Capas para Carro","otimo",5,"Yes","recomendo produto muito bom material de boa qualidade.",1969,"M","MT",,,,,
"2018-01-01 06:15:10","4f42a092e498197fb139c6cac1394a23258cf26865cf9b031d6bd894e4e38e0d",5446783,"Tequila Mexicana Especial 750ml - Jose Cuervo","jose cuervo","Alimentos e Bebidas","Bebidas Alcoólicas","Parece original",4,"Yes","Parece original veio com os lacres e tudo certo.entregou até rápido por ser final de ano.",1985,"M","GO",,,,,
"2018-01-01 06:16:11","e50dea8c16c81cb4a16c6c794b9fbfd22f526e338634b32104be1a2ed2d393bc",17922016,"Bateria Notebook - Samsung Rv410 - Preta","null","Informática e Acessórios","Acessórios para Notebook","Ok",4,"Yes","Produto funciona corretamente e é muito bom, mas é importante sempre destacar no anúncio que a bateria é de uma boa marca, mas diferente da marca Samsung.",1984,"M","SP",,,,,
"2018-01-01 06:16:16","2a109f0a22f3a0ceb5466b00c0dc436f77b095d0207501e2a91bb2148cd3267e",117744100,"Repetidor de Sinal 300Mbps 2.4Ghz TL-WA850RE - TP-Link","tp-link","Informática e Acessórios","Equipamento de Rede / Wireless","Bom",3,"Yes","Produto cumpre o que fala, único porém é que a internet cai um pouco a velocidade",1962,"F","SP",,,,,
"2018-01-01 06:17:28","bd7509aee16e0b70f5054ca4dc972a32bdb74948516fb499924735f486845d65",21007060,"Boneca Brinquedo Para Maquiar Magic Top Model","null","Brinquedos","Bonecas","Bom!",5,"Yes","Minha neta está encantada com a boneca! E a entrega melhor ainda antes do prazo de entrega. Parabéns!",1964,"F","RJ",,,,,
"2018-01-01 06:19:39","c09eab374805a2eaceb35cb81b2e97c215995d4c1f6f1edebefa0499f27631b2",20860469,"Fone De Ouvido Confort Com Microfone Para Chamadas Preto","null","Áudio","Fones de Ouvido","Som horrível",1,"No","Claro q eu não esperava um fone maravilhoso, mas o som q vem desse fone é horrível.. Se equipara ao comprado em.camelôs",1972,"F","SP",,,,,
"2018-01-01 06:20:52","e88701a41178490eff51dd857cdaa237c71e327344eed29ba5b1f7668174c7e2",22747780,"Controle Com Fio Para Xbox 360 Slim / Fat E Pc Joystick - Feir","null","Games","Xbox 360","Gostei muito do produto!!",4,"Yes","Produto atendeu nossa necessidade e a entrega foi excelente.",1986,"F","MG",,,,,
"2018-01-01 06:21:08","fab66022895fa307f721ad67d6603911471bf3154d229bc849739fb93b317915",132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado","null","Celulares e Smartphones","Smartphone","Gostei bastante",4,"Yes","Muito bom, com bastante memória, câmera excelente e  outros mais recomendo.",1990,"F","MG",,,,,
"2018-01-01 06:21:39","f0255eb15f44aea9140c08e894be1d2b6e102f6fce247585c22bc7159b8bcb83",26023708,"Teclado Musical 61 Teclas Estudante Bivolt Stk-61 Waldman","null","Instrumentos Musicais","Piano, Órgão e Teclado","Gostei",3,"No","Ele é bom pra criança, pois tem as teclas pequenas.",1995,"F","SC",,,,,
